時間,預報時效(小時),有效時間,2米溫度(°C),2米露點溫度(°C),2米相對濕度(%),海平面氣壓(hPa),10米U風(m/s),10米V風(m/s),10米風速(m/s),10米風向(度),陣風(m/s),總雲量(%),低雲量(%),中雲量(%),高雲量(%),降雨類型,累積降水量(mm),對流可用位能(J/kg),對流抑制指數(J/kg),可降水量(mm),螺旋度(m²/s²)
2024-10-26 00:00:00,0,2024-10-26 00:00:00,24.4,17.5,65.3,1006.8,-3.8,-8.7,9.5,23.4,13.5,100.0,99.4,94.5,100.0,0.0,,0.0,-0.2,64.9,266.2
2024-10-26 00:00:00,1,2024-10-26 01:00:00,24.4,17.8,66.6,1007.3,-3.7,-8.8,9.5,23.1,13.2,100.0,99.5,55.7,86.7,0.0,0.0,0.0,0.4,63.9,263.4
2024-10-26 00:00:00,2,2024-10-26 02:00:00,24.7,18.1,66.7,1007.7,-4.4,-8.6,9.7,27.3,13.1,95.6,95.1,19.4,65.6,0.0,0.0,0.0,-0.3,62.3,266.2
2024-10-26 00:00:00,3,2024-10-26 03:00:00,25.2,18.5,66.4,1007.3,-5.0,-8.4,9.7,30.8,12.7,81.2,80.1,2.6,53.6,0.0,0.0,0.0,-0.3,59.4,238.5
2024-10-26 00:00:00,4,2024-10-26 04:00:00,25.8,18.8,65.2,1006.8,-5.3,-8.0,9.6,33.7,12.5,86.3,77.0,0.3,43.4,0.0,0.0,0.0,0.1,58.3,224.2
2024-10-26 00:00:00,5,2024-10-26 05:00:00,26.3,19.2,65.3,1006.3,-5.3,-7.6,9.2,35.0,12.0,60.3,57.5,0.0,39.0,0.1,0.0,0.4,-0.2,58.8,212.8
2024-10-26 00:00:00,6,2024-10-26 06:00:00,27.0,19.9,65.2,1005.5,-5.4,-6.9,8.8,38.2,12.1,51.1,51.1,0.0,24.4,0.3,0.0,0.4,-0.5,59.6,212.9
2024-10-26 00:00:00,7,2024-10-26 07:00:00,27.5,20.6,66.3,1005.2,-5.8,-6.1,8.4,43.7,12.5,75.4,73.4,0.0,61.7,0.0,0.0,5.6,-1.0,60.5,228.1
2024-10-26 00:00:00,8,2024-10-26 08:00:00,27.9,21.3,67.9,1005.2,-6.9,-5.5,8.8,51.6,13.3,94.9,93.8,0.0,69.6,0.0,0.0,26.0,-11.1,60.7,215.4
2024-10-26 00:00:00,9,2024-10-26 09:00:00,27.8,21.5,69.0,1005.6,-7.5,-5.5,9.3,53.5,13.9,94.9,88.2,0.0,53.5,0.4,0.0,55.7,-19.6,60.3,210.5
2024-10-26 00:00:00,10,2024-10-26 10:00:00,27.5,21.6,70.2,1006.1,-7.6,-5.5,9.4,53.8,13.9,99.0,89.9,0.0,96.6,0.4,0.2,57.0,-27.2,60.1,214.2
2024-10-26 00:00:00,11,2024-10-26 11:00:00,27.3,21.7,71.7,1006.9,-7.8,-5.2,9.4,56.0,13.9,98.0,88.4,12.0,97.0,0.4,0.4,76.8,-30.2,60.2,202.8
2024-10-26 00:00:00,12,2024-10-26 12:00:00,27.0,21.8,73.2,1007.8,-7.6,-4.7,9.0,58.1,13.5,99.2,99.2,5.3,65.3,0.5,0.6,108.6,-38.6,60.5,194.5
2024-10-26 00:00:00,13,2024-10-26 13:00:00,26.7,21.8,74.7,1008.4,-7.7,-4.6,9.0,59.2,13.2,100.0,100.0,7.5,97.0,1.0,0.4,123.4,-36.2,61.6,203.5
2024-10-26 00:00:00,14,2024-10-26 14:00:00,26.3,21.8,76.4,1008.8,-7.8,-5.0,9.2,57.4,13.3,100.0,90.7,39.0,99.7,0.5,0.8,112.0,-31.6,61.8,210.8
2024-10-26 00:00:00,15,2024-10-26 15:00:00,26.4,21.7,75.8,1009.1,-7.3,-4.7,8.7,57.4,12.9,100.0,65.8,69.5,100.0,0.5,1.0,100.2,-30.8,60.7,192.9
2024-10-26 00:00:00,16,2024-10-26 16:00:00,26.3,21.5,75.3,1009.1,-7.3,-4.3,8.5,59.7,12.6,100.0,57.0,11.2,100.0,0.5,1.3,74.2,-16.1,60.1,186.6
2024-10-26 00:00:00,17,2024-10-26 17:00:00,26.1,21.4,75.6,1008.8,-6.8,-4.6,8.2,55.7,12.2,100.0,79.7,25.6,100.0,0.8,1.5,84.4,-13.3,60.6,203.8
2024-10-26 00:00:00,18,2024-10-26 18:00:00,26.1,21.2,75.0,1008.3,-6.5,-4.8,8.1,53.4,11.9,100.0,93.6,1.4,100.0,0.4,1.6,68.5,-13.5,61.2,212.6
2024-10-26 00:00:00,19,2024-10-26 19:00:00,26.0,21.2,74.8,1008.0,-6.2,-4.8,7.8,52.1,11.8,100.0,99.1,1.8,78.0,0.4,0.1,54.1,-9.1,61.1,212.5
2024-10-26 00:00:00,20,2024-10-26 20:00:00,25.9,21.0,74.5,1007.8,-6.0,-4.7,7.6,52.1,11.7,99.9,99.9,0.0,35.8,0.8,0.2,48.3,-6.9,60.6,216.8
2024-10-26 00:00:00,21,2024-10-26 21:00:00,25.6,20.9,75.2,1008.3,-6.3,-4.1,7.6,56.8,11.6,99.6,99.6,5.0,65.8,1.0,0.4,35.8,-11.2,60.2,217.4
2024-10-26 00:00:00,22,2024-10-26 22:00:00,25.7,21.1,75.8,1009.0,-6.2,-3.6,7.1,59.6,11.2,96.4,89.0,12.8,89.9,0.4,0.5,41.5,-6.4,56.8,199.0
2024-10-26 00:00:00,23,2024-10-26 23:00:00,25.7,21.1,75.6,1009.8,-5.8,-3.4,6.8,59.6,9.8,80.3,53.3,5.0,65.0,0.0,0.6,40.9,-9.3,52.8,179.9
2024-10-26 00:00:00,24,2024-10-27 00:00:00,25.8,21.0,75.0,1010.5,-5.6,-3.6,6.7,57.7,9.3,56.6,24.3,29.3,53.2,0.0,0.7,42.5,-13.8,51.0,170.7
2024-10-26 00:00:00,25,2024-10-27 01:00:00,26.0,20.9,73.7,1010.9,-5.0,-4.1,6.5,51.1,8.8,82.8,1.5,48.4,68.9,0.0,0.0,29.2,-12.6,50.2,166.3
2024-10-26 00:00:00,26,2024-10-27 02:00:00,26.5,20.9,71.6,1011.0,-4.6,-4.2,6.3,47.4,8.2,39.0,1.7,8.2,39.0,0.3,0.0,16.4,-2.8,49.1,157.8
2024-10-26 00:00:00,27,2024-10-27 03:00:00,26.9,20.9,70.4,1010.7,-4.5,-3.7,5.8,50.5,7.6,81.0,5.1,3.2,81.0,0.0,0.0,14.2,-2.4,48.7,136.0
2024-10-26 00:00:00,28,2024-10-27 04:00:00,27.3,21.1,69.6,1009.9,-4.7,-2.9,5.5,58.2,7.5,91.6,7.3,3.6,91.6,0.0,0.0,16.5,-3.4,49.6,114.4
2024-10-26 00:00:00,29,2024-10-27 05:00:00,27.5,21.3,69.8,1009.2,-4.9,-1.8,5.2,70.1,7.0,89.5,8.5,1.7,89.5,0.0,0.0,32.8,-4.0,50.9,80.4
2024-10-26 00:00:00,30,2024-10-27 06:00:00,27.5,21.5,70.7,1008.3,-5.1,-0.9,5.2,80.1,6.9,98.7,5.1,11.8,98.7,0.0,0.0,65.7,-19.0,52.2,61.1
2024-10-26 00:00:00,31,2024-10-27 07:00:00,27.5,21.9,72.2,1007.8,-5.3,-0.1,5.3,89.1,7.0,90.4,2.4,34.6,88.2,0.0,0.0,131.9,-21.2,53.7,40.2
2024-10-26 00:00:00,32,2024-10-27 08:00:00,27.6,22.2,73.3,1007.8,-5.6,0.6,5.6,95.8,7.1,91.4,4.0,22.3,86.7,0.2,0.0,219.9,-12.4,55.5,26.9
2024-10-26 00:00:00,33,2024-10-27 09:00:00,27.4,22.5,75.2,1008.2,-5.9,0.9,5.9,98.7,7.2,86.9,4.5,45.3,82.2,0.3,0.2,296.1,-11.2,56.9,20.9
2024-10-26 00:00:00,34,2024-10-27 10:00:00,27.2,22.7,76.7,1008.4,-5.6,1.0,5.7,99.7,7.2,86.7,5.0,61.7,78.5,0.3,0.3,381.3,-18.1,57.5,25.2
2024-10-26 00:00:00,35,2024-10-27 11:00:00,27.1,22.8,77.4,1009.0,-5.2,1.1,5.3,102.3,6.8,40.0,0.4,38.4,6.4,0.3,0.5,391.8,-21.6,57.6,35.1
2024-10-26 00:00:00,36,2024-10-27 12:00:00,27.0,22.7,77.0,1009.6,-5.0,1.1,5.1,102.0,6.6,53.3,4.4,48.2,10.3,0.5,0.8,349.9,-20.1,58.2,46.8
2024-10-26 00:00:00,37,2024-10-27 13:00:00,26.9,22.6,77.3,1010.1,-4.5,0.9,4.6,100.7,6.0,94.9,18.6,89.5,24.6,0.7,0.3,351.7,-20.1,59.0,54.4
2024-10-26 00:00:00,38,2024-10-27 14:00:00,26.8,22.4,76.8,1010.3,-3.7,0.1,3.7,91.7,4.9,99.6,42.9,98.1,37.7,1.0,0.7,303.3,-16.7,59.5,65.2
2024-10-26 00:00:00,39,2024-10-27 15:00:00,26.9,22.2,75.5,1010.4,-3.0,-0.5,3.0,80.4,4.0,89.6,64.5,80.3,6.8,1.0,1.0,261.3,-15.0,59.2,74.3
2024-10-26 00:00:00,40,2024-10-27 16:00:00,26.9,22.1,74.7,1010.3,-2.8,-1.7,3.3,57.8,4.9,81.0,58.2,73.4,14.3,0.4,1.1,224.0,-12.3,58.1,87.5
2024-10-26 00:00:00,41,2024-10-27 17:00:00,26.8,21.6,73.2,1009.7,-2.4,-3.3,4.1,35.9,6.0,73.4,4.8,72.7,5.5,0.4,1.2,159.0,-9.7,56.6,108.5
2024-10-26 00:00:00,42,2024-10-27 18:00:00,26.2,20.9,72.4,1009.2,-1.7,-5.2,5.4,18.7,6.9,79.4,0.0,79.3,7.0,0.0,1.2,99.4,-8.4,55.5,148.3
2024-10-26 00:00:00,43,2024-10-27 19:00:00,25.4,19.8,71.3,1009.1,-0.4,-6.3,6.3,3.8,7.5,81.0,2.2,81.0,29.0,0.0,0.0,7.5,-11.5,54.9,170.4
2024-10-26 00:00:00,44,2024-10-27 20:00:00,24.8,19.2,70.7,1009.1,-0.6,-6.6,6.6,5.3,8.2,94.1,9.7,94.1,25.1,0.0,0.0,0.0,-0.1,54.3,170.0
2024-10-26 00:00:00,45,2024-10-27 21:00:00,24.7,18.9,70.2,1009.1,-1.2,-6.7,6.8,10.2,8.5,92.7,8.2,92.7,9.8,0.0,0.0,0.0,0.4,54.1,154.0
2024-10-26 00:00:00,46,2024-10-27 22:00:00,24.6,18.7,70.0,1009.7,-1.6,-6.8,7.0,13.4,8.9,63.2,3.1,63.2,9.9,0.0,0.0,0.0,0.2,54.6,138.0
2024-10-26 00:00:00,47,2024-10-27 23:00:00,24.4,18.6,70.0,1010.7,-1.4,-7.2,7.4,10.8,9.2,72.9,6.8,72.0,7.2,0.0,0.0,0.0,0.4,55.4,144.2
2024-10-26 00:00:00,48,2024-10-28 00:00:00,24.5,18.4,68.9,1011.4,-1.5,-7.8,7.9,11.3,9.1,49.0,26.8,36.6,10.7,0.1,0.0,0.0,0.3,55.8,136.4
2024-10-26 00:00:00,49,2024-10-28 01:00:00,24.9,18.3,66.9,1012.0,-2.3,-7.8,8.2,16.6,9.3,51.6,50.8,8.0,4.1,0.0,0.0,0.0,0.0,55.8,116.4
2024-10-26 00:00:00,50,2024-10-28 02:00:00,25.4,18.3,64.7,1012.4,-2.7,-7.5,8.0,20.0,8.8,73.3,72.7,26.6,3.6,0.0,0.0,0.0,-0.2,55.8,97.3
2024-10-26 00:00:00,51,2024-10-28 03:00:00,25.9,18.2,62.7,1011.9,-3.1,-6.8,7.5,24.7,8.1,95.0,88.4,87.8,2.8,0.0,0.0,0.0,-0.1,55.8,83.8
2024-10-26 00:00:00,52,2024-10-28 04:00:00,26.1,18.2,62.0,1011.1,-3.1,-5.7,6.4,28.6,7.0,100.0,97.3,97.7,2.5,0.0,0.0,0.0,-0.0,55.9,67.3
2024-10-26 00:00:00,53,2024-10-28 05:00:00,25.9,18.1,62.2,1010.2,-2.0,-4.9,5.3,22.2,6.0,100.0,98.7,99.8,2.7,0.0,0.0,0.0,-0.4,55.7,61.4
2024-10-26 00:00:00,54,2024-10-28 06:00:00,25.7,18.1,62.7,1009.3,-0.9,-4.7,4.8,10.9,5.5,100.0,96.7,100.0,4.7,0.0,0.0,0.0,0.0,55.4,73.7
2024-10-26 00:00:00,55,2024-10-28 07:00:00,25.7,18.1,62.9,1008.7,-0.6,-4.5,4.6,7.3,5.5,99.8,89.8,99.8,4.9,0.0,0.0,0.0,0.0,54.9,74.2
2024-10-26 00:00:00,56,2024-10-28 08:00:00,25.8,18.1,62.5,1008.6,-0.5,-4.1,4.2,6.3,5.4,99.8,76.6,99.8,5.0,0.0,0.0,0.0,-0.2,54.8,64.5
2024-10-26 00:00:00,57,2024-10-28 09:00:00,26.0,18.3,62.5,1009.0,-0.4,-3.8,3.8,5.7,5.1,99.8,66.6,99.8,17.9,0.0,0.0,1.6,-11.1,54.9,62.6
2024-10-26 00:00:00,58,2024-10-28 10:00:00,26.1,18.4,62.5,1009.5,-0.7,-3.1,3.1,12.7,5.0,96.1,41.1,94.8,61.3,0.0,0.0,4.3,-21.9,55.1,59.9
2024-10-26 00:00:00,59,2024-10-28 11:00:00,25.9,18.5,63.8,1010.2,-0.9,-2.8,2.9,17.0,5.2,98.7,16.8,89.6,95.7,0.0,0.0,5.7,-29.0,55.3,63.1
2024-10-26 00:00:00,60,2024-10-28 12:00:00,25.6,18.8,66.1,1011.2,-1.6,-1.9,2.5,41.6,5.1,100.0,48.4,95.7,100.0,0.3,0.0,10.1,-14.3,56.0,51.1
2024-10-26 00:00:00,61,2024-10-28 13:00:00,25.4,19.5,69.6,1011.6,-2.8,-1.5,3.2,61.9,4.9,99.7,74.8,96.3,98.6,0.9,0.0,18.7,-41.5,56.8,32.9
2024-10-26 00:00:00,62,2024-10-28 14:00:00,25.3,20.3,73.5,1011.7,-3.7,-1.1,3.9,74.2,4.5,99.4,98.9,90.7,73.0,0.8,0.1,38.4,-19.7,57.5,20.1
2024-10-26 00:00:00,63,2024-10-28 15:00:00,25.3,20.2,73.5,1011.7,-4.0,-1.9,4.4,64.6,5.0,99.6,99.4,89.8,49.3,0.8,0.3,48.8,-19.8,57.4,26.5
2024-10-26 00:00:00,64,2024-10-28 16:00:00,25.3,19.3,69.8,1011.5,-3.2,-2.9,4.4,47.8,5.2,99.0,97.1,94.9,5.5,0.3,0.4,21.3,-15.9,56.7,38.3
2024-10-26 00:00:00,65,2024-10-28 17:00:00,25.2,18.5,66.6,1011.1,-2.5,-3.5,4.3,35.9,5.0,98.1,95.6,95.9,4.9,0.1,0.5,1.9,0.0,55.9,38.0
2024-10-26 00:00:00,66,2024-10-28 18:00:00,25.0,18.3,66.3,1010.6,-2.8,-3.7,4.6,37.1,5.3,98.6,98.1,92.7,4.4,0.1,0.5,0.0,-0.0,55.7,47.0
2024-10-26 00:00:00,67,2024-10-28 19:00:00,24.7,18.2,66.9,1010.2,-3.3,-4.0,5.1,39.5,5.8,94.6,94.4,83.1,5.0,0.0,0.0,0.0,0.1,55.4,53.8
2024-10-26 00:00:00,68,2024-10-28 20:00:00,24.5,18.0,67.2,1009.9,-2.4,-4.8,5.4,26.7,6.1,99.3,55.1,99.3,4.8,0.0,0.0,0.0,-0.2,55.2,56.6
2024-10-26 00:00:00,69,2024-10-28 21:00:00,24.2,17.7,67.1,1010.0,-1.7,-5.2,5.5,18.1,6.2,99.6,26.9,96.3,92.2,0.0,0.0,0.0,-0.4,54.9,56.8
2024-10-26 00:00:00,70,2024-10-28 22:00:00,24.0,17.4,66.4,1010.9,-1.5,-5.0,5.2,16.3,5.9,99.9,37.5,97.8,99.9,0.0,0.0,0.0,-0.4,54.8,48.6
2024-10-26 00:00:00,71,2024-10-28 23:00:00,23.9,17.2,65.8,1011.8,-1.0,-4.8,4.9,12.0,5.5,98.1,54.1,98.1,10.5,0.0,0.0,0.0,-0.0,54.6,45.1
2024-10-26 00:00:00,72,2024-10-29 00:00:00,23.9,17.1,65.5,1012.3,-1.1,-4.7,4.8,13.2,5.4,89.2,43.9,85.3,77.4,0.0,0.0,0.0,0.1,54.1,42.6
2024-10-26 00:00:00,73,2024-10-29 01:00:00,24.1,17.1,64.8,1012.6,-1.9,-4.6,4.9,22.0,5.4,99.6,7.4,88.7,94.3,0.0,0.0,0.0,0.2,53.8,41.1
2024-10-26 00:00:00,74,2024-10-29 02:00:00,24.7,17.3,63.6,1012.6,-2.6,-4.1,4.9,32.5,5.2,85.7,0.0,84.2,55.1,0.0,0.0,0.0,-0.2,53.2,35.4
2024-10-26 00:00:00,75,2024-10-29 03:00:00,25.2,17.4,62.4,1011.9,-2.8,-3.9,4.7,35.5,4.9,72.8,0.0,64.4,55.7,0.0,0.0,0.0,-0.4,52.5,35.2
2024-10-26 00:00:00,76,2024-10-29 04:00:00,25.6,17.5,61.1,1011.1,-3.0,-3.1,4.3,44.8,4.5,99.9,0.9,93.1,99.9,0.0,0.0,0.0,-0.0,52.1,30.4
2024-10-26 00:00:00,77,2024-10-29 05:00:00,25.5,17.3,60.9,1010.4,-2.7,-2.1,3.4,51.9,3.8,100.0,4.0,100.0,100.0,0.0,0.0,0.0,-0.1,51.9,24.0
2024-10-26 00:00:00,78,2024-10-29 06:00:00,25.5,17.2,60.3,1009.6,-2.2,-1.1,2.5,63.1,3.0,100.0,4.6,100.0,99.5,0.0,0.0,0.0,-0.1,52.0,14.2
2024-10-26 00:00:00,79,2024-10-29 07:00:00,25.6,17.3,60.6,1009.3,-2.3,-0.5,2.3,77.7,2.9,98.0,4.4,97.9,79.1,0.0,0.0,0.0,-0.4,52.0,5.2
2024-10-26 00:00:00,80,2024-10-29 08:00:00,25.7,17.8,61.8,1009.1,-2.9,-0.4,2.9,82.9,3.6,96.0,3.9,96.0,17.7,0.0,0.0,0.0,0.4,52.0,7.6
2024-10-26 00:00:00,81,2024-10-29 09:00:00,25.6,18.3,64.3,1009.2,-3.5,-0.3,3.5,85.7,3.9,99.1,5.7,99.1,3.9,0.0,0.0,0.0,0.4,52.0,13.9
2024-10-26 00:00:00,82,2024-10-29 10:00:00,25.4,19.0,67.5,1009.5,-4.1,0.7,4.1,99.2,4.0,99.9,5.0,99.9,5.0,0.0,0.0,0.0,-0.0,52.4,20.5
